title,link,image,price,description
"Stainless Steel Flask (Double Wall Insulated) Mug With Strainer- 300 Ml - For Keeping Hot Tea/Coffee / Milk/ Water For More Time Prefer To Use At Home, Office ,Gym , At Travel",https://www.daraz.com.np/products/stainless-steel-flask-double-wall-insulated-mug-with-strainer-300-ml-for-keeping-hot-teacoffee-milk-water-for-more-time-prefer-to-use-at-home-office-gym-at-travel-i104994107.html,https://img.drz.lazcdn.com/static/np/p/0ddc7207888060c3956d13c6488c5446.jpg_200x200q80.avif,Rs. 690,"Stainless Steel Flask (Double Wall Insulated) Mug With Strainer- 300 Ml - For Keeping Hot Tea/Coffee / Milk/ Water For More Time Prefer To Use At Home, Office ,Gym , At Travel
Rs. 690
Gems save Rs. 7
8 sold
(2)
Gandaki Province"
Stainless Steel Vacuum Bottles Thermos Flask 0.75L,https://www.daraz.com.np/products/stainless-steel-vacuum-bottles-thermos-flask-075l-i103370231.html,https://img.drz.lazcdn.com/static/np/p/8d817573c966bc4fce18ce46e99a90ec.jpg_200x200q80.avif,Rs. 950,"Stainless Steel Vacuum Bottles Thermos Flask 0.75L
Rs. 950
Gems save Rs. 10
(1)
Bagmati Province"
Electromax Stainless Steel Thermos Bottle Silver Slimline - 750Ml,https://www.daraz.com.np/products/electromax-stainless-steel-thermos-bottle-silver-slimline-750ml-i115429429.html,https://img.drz.lazcdn.com/static/np/p/dcbe215060a0df39dbb5e2eaa5f2e855.jpg_200x200q80.avif,Rs. 799,"Electromax Stainless Steel Thermos Bottle Silver Slimline - 750Ml
Rs. 799
Gems save Rs. 8
10 sold
(2)
Bagmati Province"
Legend Vacuum Flask Thermos 1000 ml Food Gradable Stainless Steel,https://www.daraz.com.np/products/legend-vacuum-flask-thermos-1000-ml-food-gradable-stainless-steel-i105544713.html,https://img.drz.lazcdn.com/static/np/p/c197dfbfb1f8fc12927c2b1258387bba.jpg_200x200q80.avif,"Rs. 1,100","Legend Vacuum Flask Thermos 1000 ml Food Gradable Stainless Steel
Rs. 1,100
Gems save Rs. 11
Bagmati Province"
Tulip Stainless Steel Thermal Bottle / Thermos / Vacuum Flask Bottle Jazz,https://www.daraz.com.np/products/tulip-stainless-steel-thermal-bottle-thermos-vacuum-flask-bottle-jazz-i261252977.html,https://img.drz.lazcdn.com/static/np/p/b05e65e13048aac64900787c131d5066.jpg_200x200q80.avif,"Rs. 1,080","Tulip Stainless Steel Thermal Bottle / Thermos / Vacuum Flask Bottle Jazz
Rs. 1,080
Bagmati Province"
"500ML Vacuum Flask , Stainless Steel Cola Bottle",https://www.daraz.com.np/products/500ml-vacuum-flask-stainless-steel-cola-bottle-i119667813.html,https://img.drz.lazcdn.com/static/np/p/05f522421561bc13fadacfa82e01802f.jpg_200x200q80.avif,Rs. 775,"500ML Vacuum Flask , Stainless Steel Cola Bottle
Rs. 775
Gems save Rs. 8
Bagmati Province"
Stainless Steel Vacuum Cola Bottles Thermos Flask with Handle,https://www.daraz.com.np/products/stainless-steel-vacuum-cola-bottles-thermos-flask-with-handle-i103462976.html,https://img.drz.lazcdn.com/static/np/p/1ee3cbd953fb1b19ce83975f9d046544.jpg_200x200q80.avif,Rs. 800,"Stainless Steel Vacuum Cola Bottles Thermos Flask with Handle
Rs. 800
Gems save Rs. 8
Bagmati Province"
Gold Pollux Fisher Thermos Bottel 1000ml,https://www.daraz.com.np/products/gold-pollux-fisher-thermos-bottel-1000ml-i125562010.html,https://img.drz.lazcdn.com/static/np/p/f300f336f90eb9f73d632e132621afe6.jpg_200x200q80.avif,Rs. 850,"Gold Pollux Fisher Thermos Bottel 1000ml
Rs. 850
Bagmati Province"
Electron 1.5 litre Stainless Steel Thermos/ Vacuum Flask 1500 Ml,https://www.daraz.com.np/products/electron-15-litre-stainless-steel-thermos-vacuum-flask-1500-ml-i127889915.html,https://img.drz.lazcdn.com/static/np/p/6f0cf46f77b4cfeae40c4cc3bfc4c2d7.jpg_200x200q80.avif,"Rs. 1,766","Electron 1.5 litre Stainless Steel Thermos/ Vacuum Flask 1500 Ml
Rs. 1,766
Bagmati Province"
2 Yrs Warranty Yasuda Stainless Steel Vacuum Flask 1Ltr 24hrs Hot/Cold Water For Students,https://www.daraz.com.np/products/2-yrs-warranty-yasuda-stainless-steel-vacuum-flask-1ltr-24hrs-hotcold-water-for-students-i109673045.html,https://img.drz.lazcdn.com/static/np/p/e70f5f19d436eb69e733571800dbe3ad.jpg_200x200q80.avif,"Rs. 1,350","2 Yrs Warranty Yasuda Stainless Steel Vacuum Flask 1Ltr 24hrs Hot/Cold Water For Students
Rs. 1,350
Gandaki Province"
